,Original,BLUR5,BLUR10,BLUR15,BLUR20,BLUR25
horizontal,0,0,0,0,1,1
hotel,0,0,1,0,0,0
hours,0,0,0,2,0,0
house,2,3,2,0,0,0
houses,2,0,0,0,0,0
hovers,0,0,1,0,0,0
hue,2,3,2,5,29,37
hues,0,2,12,26,23,24
human,0,0,0,1,0,0
hydrant,5,3,2,0,0,0
hydrants,1,1,1,0,0,0
identify,0,0,0,1,0,0
illuminated,4,0,0,1,0,0
illuminating,0,0,1,0,0,2
image,27,82,119,143,150,152
images,3,5,6,10,6,7
immediacy,0,0,0,1,0,0
immediately,0,0,0,2,1,2
imperceptible,0,0,1,0,0,1
imposing,0,0,1,0,0,0
impression,0,1,4,8,15,16
impressionistic,0,0,0,0,1,1
include,1,0,1,0,0,0
includes,9,28,43,35,25,13
including,9,17,5,5,5,7
ind,0,0,0,0,0,1
indicate,1,1,0,0,0,0
indicated,1,0,0,0,0,1
indicates,1,0,1,0,0,0
indicating,10,8,7,3,4,4
indigo,0,0,0,0,0,1
indistinct,0,3,7,10,12,10
individual,6,8,16,18,17,8
individuals,8,15,13,13,4,0
indoor,5,8,15,17,9,3
indoors,1,4,11,7,2,0
industrial,1,3,0,0,0,0
infield,2,1,0,0,0,0
inflatable,0,0,0,1,0,0
infrastructure,1,1,0,0,0,0
ingredients,1,2,0,0,0,0
inside,1,0,1,0,0,0
intensity,2,2,1,0,0,0
interact,0,1,0,0,0,0
interacting,1,3,0,1,0,0
interaction,0,1,3,1,0,0
interactive,0,1,0,0,0,0
interface,1,1,2,0,0,0
interior,0,1,2,3,0,0
interplay,0,0,0,1,1,1
interpreted,0,0,0,0,1,0
intersection,1,0,0,0,0,0
intimacy,0,0,0,1,1,1
intimate,0,3,1,1,1,3
intricate,4,1,2,0,1,1
intriguing,1,0,0,0,0,0
inviting,2,1,2,2,4,5
involves,0,0,3,0,0,0
involving,1,0,0,1,0,1
inward,0,0,0,1,1,1
irregular,0,0,0,1,1,0
island,0,0,1,0,0,0
isolated,0,0,0,0,1,0
item,2,2,6,2,2,1
items,8,6,2,1,0,0
itself,1,0,0,0,0,0
jacket,7,6,7,8,1,1
jackets,0,1,0,0,0,0
jars,1,0,0,0,0,0
jeans,1,1,2,0,1,0
jet,2,0,0,0,0,0
jewelry,0,0,1,0,1,1
joints,0,1,0,0,0,0
joyful,1,0,0,0,0,0
jump,5,5,1,0,0,0
jumping,0,0,1,0,0,0
just,1,0,0,0,1,0
kayaking,0,0,1,0,0,0
kernels,2,0,0,0,0,0
keyboard,1,0,0,0,0,0
kitchen,7,3,3,1,0,0
kitchenette,1,0,0,0,0,0
kite,2,4,0,0,0,0
kiteboarder,3,0,0,0,0,0
kiteboarders,1,0,0,0,0,0
kiteboarding,1,3,0,0,0,0
kites,1,1,0,0,0,0
knee,2,0,0,0,0,0
kneels,1,0,0,0,0,0
knot,0,1,0,0,0,0
lack,0,0,0,0,1,0
lacking,0,0,0,0,1,3
lacks,0,1,0,1,3,2
lake,1,1,0,0,1,1
lamp,0,4,3,0,0,0
land,0,0,0,2,0,0
landmarks,0,0,0,0,1,0
landmass,0,0,1,0,0,0
landscape,4,4,4,10,6,7
lap,1,1,0,0,0,0
laptop,1,0,1,0,0,0
laptops,2,0,0,0,0,0
large,16,10,6,4,2,0
larger,0,0,2,2,1,0
late,1,0,2,0,2,0
laughing,1,0,0,0,0,0
lawn,0,4,1,0,0,0
lawns,1,0,0,0,0,0
layer,3,1,0,0,0,0
layered,0,0,0,0,0,1
layering,0,1,0,0,0,0
layers,1,0,4,1,0,0
layout,1,1,0,0,0,0
leading,2,2,1,1,1,0
leads,1,0,0,0,0,0
leaf,0,0,0,1,0,0
leafy,0,1,3,0,0,2
leaning,3,6,3,1,1,0
leans,1,0,0,0,0,0
leaping,0,0,1,0,0,0
leaps,1,0,0,0,0,0
learning,1,0,0,0,0,0
leaves,4,2,2,0,1,0
leaving,2,2,0,0,0,0
left,6,6,5,5,7,6
leg,1,1,0,1,0,0
legs,1,1,0,0,1,0
lens,1,0,0,0,2,0
less,0,0,2,2,1,0
letters,4,0,0,0,0,0
lettuce,0,2,5,1,0,0
levels,0,0,0,1,1,0
lies,1,0,0,0,0,0
life,0,0,1,0,0,0
light,14,17,27,28,35,47
lightcolored,4,7,16,19,19,6
lighted,0,0,1,0,0,0
lighter,1,5,9,26,31,42
lightercolored,0,0,1,0,0,0
lighting,3,9,19,23,26,12
lightly,0,1,0,0,0,0
lights,5,4,1,0,0,0
like,1,3,9,3,3,2
likely,0,4,0,2,0,0
line,1,6,1,3,3,2
lined,2,1,0,0,0,0
lines,2,2,2,0,0,1
liquid,0,1,1,0,0,0
lit,8,5,3,3,1,0
livedin,1,1,1,0,0,0
lively,3,3,2,0,1,0
living,5,2,3,1,2,0
lobby,0,0,1,0,0,0
location,0,0,1,0,0,0
logo,4,0,0,0,0,0
london,2,0,0,0,0,0
lone,4,0,0,0,0,0
long,3,0,0,1,0,0
longboard,1,0,0,0,0,0
look,4,0,0,0,0,0
looking,2,1,0,0,1,0
looks,0,1,2,1,1,1
lounge,2,1,0,0,0,0
lounges,1,0,0,0,0,0
loveseat,1,0,0,0,0,0
lower,2,2,1,0,3,3
luggage,1,0,0,0,0,0
luminous,0,0,1,0,1,0
lush,10,11,6,1,2,0
lying,0,1,0,0,0,0
machinery,0,2,0,1,0,0
made,0,1,1,1,0,0
major,0,1,0,0,0,0
make,0,0,0,1,1,0
maker,1,0,0,0,0,0
makes,0,0,3,4,2,3
making,3,3,11,5,3,3
man,6,0,0,0,0,0
mane,1,0,0,0,0,0
maneuver,4,2,0,0,0,0
maneuvering,0,1,0,0,0,0
mango,1,1,0,0,0,1
manmade,0,1,0,0,0,0
manner,0,0,0,0,0,2
manor,1,0,0,0,0,0
marked,3,1,0,0,0,0
marker,0,1,1,0,0,0
market,0,1,0,0,0,0
marking,0,2,0,0,0,0
markings,1,0,0,0,0,0
maroon,1,0,0,0,0,0
mask,0,0,0,1,0,0
match,1,1,0,1,0,0
matching,2,2,0,0,0,0
material,0,0,1,1,1,1
materials,0,1,0,0,0,1
mcdonalds,1,0,0,0,0,0
meadow,1,0,1,0,0,0
meal,2,1,0,0,0,0
meat,1,5,0,1,0,0
medium,0,0,1,0,0,0
medley,1,0,0,0,0,0
melancholy,0,0,0,0,1,0
melted,2,0,0,0,0,0
metal,3,2,0,0,0,0
metallic,1,0,0,0,0,0
metalwork,1,0,0,0,0,0
metro,0,1,0,0,0,0
microphone,0,1,0,0,0,0
midaction,2,1,1,1,0,0
midair,11,14,1,0,0,0
midconversation,1,0,0,0,0,0
middle,1,0,0,1,0,2
midmotion,0,1,0,0,0,0
midstride,2,1,1,1,0,0
midswing,3,3,1,0,0,0
midturn,1,1,0,0,0,0
might,1,5,6,5,5,1
minimalism,0,0,1,0,1,0
minimalist,0,0,0,3,4,3
minimalistic,0,0,0,2,4,2
mirror,1,0,1,0,0,0
misty,0,0,0,2,0,1
mix,12,16,21,28,31,29
mobile,2,0,0,0,0,0
model,0,1,1,0,0,0
modern,10,3,4,0,0,0
moment,0,3,0,0,1,0
monitor,2,2,0,0,0,0
monkey,4,0,0,0,0,0
monkeys,2,0,0,0,0,0
monochromatic,0,0,0,0,0,1
monument,0,1,1,2,0,0
mood,0,1,0,0,1,0
moody,2,0,0,1,0,0
moon,0,0,1,0,0,0
more,0,4,1,6,4,8
morning,1,0,2,0,2,0
mostly,0,1,1,1,0,0
motion,8,17,19,18,8,7
motorboat,1,0,0,0,0,0
motorcycle,4,5,4,0,0,0
motorcycles,0,0,1,0,0,0
motorcyclists,1,0,0,0,0,0
mound,2,1,0,0,0,0
mountain,2,1,1,0,0,0
mountains,4,1,0,0,0,0
mounted,5,3,4,0,0,0
mouse,1,0,0,0,0,0
mouth,3,1,0,0,0,0
move,0,1,0,0,0,0
movement,5,10,9,7,4,6
moving,0,3,1,1,1,0
mugs,1,0,0,0,0,0
multicolored,1,0,0,1,0,0
multifunctional,1,0,0,0,0,0
multilane,1,0,0,0,0,0
multiple,0,5,1,1,0,0
mural,1,0,0,0,0,0
mushrooms,1,0,0,0,0,0
muted,3,2,9,13,17,19
mysterious,0,0,1,1,1,0
mystery,0,0,1,2,4,2
mystical,0,0,0,0,1,0
napkin,1,0,0,0,0,0
narrow,0,1,1,0,0,0
natural,5,11,16,15,15,15
nature,0,2,0,1,1,0
natures,1,0,0,0,0,0
navigating,2,1,0,0,0,0
navy,0,0,0,0,0,1
near,9,10,10,4,8,5
nearby,3,2,2,2,0,0
neat,1,0,0,0,0,0
neatly,8,5,1,0,0,0
neck,1,0,0,0,0,0
neckerchief,1,0,0,0,0,0
necklace,0,0,0,1,0,0
nestled,2,1,0,0,0,0
net,3,1,1,0,0,0
neutral,0,3,3,3,3,0
next,3,0,0,0,0,0
nicely,1,1,0,0,0,0
night,0,1,0,0,0,0
nightstand,0,0,1,0,0,0
nighttime,2,0,1,0,0,0
nose,1,1,0,0,0,0
note,1,0,0,0,0,0
noticeable,1,0,2,3,3,2
number,2,0,0,0,0,0
numerous,1,1,0,0,0,0
nuts,0,0,1,0,0,0
object,2,23,59,35,26,19
objects,0,4,6,16,15,14
obscured,1,4,2,2,0,1
obscures,0,0,0,0,0,1
obscuring,0,3,1,0,1,1
obscurity,0,0,0,0,1,0
observing,0,1,1,0,0,0
obstacle,0,0,1,0,0,0
ocean,11,7,3,3,1,1
oceans,0,1,0,1,0,0
octagonal,3,0,0,0,0,0
off,2,0,0,0,0,0
offcamera,0,0,0,0,1,0
offcenter,0,1,1,1,2,0
office,1,0,0,2,0,0
olympic,1,0,0,0,0,0
olympics,1,0,0,0,0,0
ominous,1,1,0,0,0,0
one,20,16,21,17,18,16
onions,1,0,0,0,0,0
onto,1,0,1,0,0,0
open,7,5,2,6,2,1
openair,0,0,0,0,1,0
opentop,1,0,0,0,0,0
options,1,0,0,0,0,0
orange,7,12,14,16,21,26
orangecolored,1,0,0,0,0,0
oranges,1,0,2,0,0,0
orangetoned,0,0,0,0,1,0
orb,0,0,0,0,1,0
organic,0,0,0,1,1,0
organization,1,0,0,0,0,0
organized,1,0,0,0,0,0
other,18,22,17,26,14,15
others,1,1,5,2,1,1
otherwise,2,0,1,0,0,1
otherworldly,0,0,0,1,1,0
ottoman,1,0,0,0,0,0
out,10,12,18,19,13,15
outcrop,0,1,0,0,0,0
outdoor,6,18,21,15,18,16
outdoors,2,4,7,8,11,4
outfield,1,0,0,0,0,0
outfit,10,14,11,10,9,1
outfits,0,1,0,0,0,0
outline,0,0,0,2,1,1
outoffocus,0,0,2,2,1,2
outside,1,0,0,0,0,0
outstretched,0,2,2,0,0,0
outward,0,0,2,0,1,1
oven,2,1,0,0,0,0
over,6,11,3,1,2,0
overall,2,10,30,41,61,64
overcast,1,0,1,4,0,0
overhead,3,1,0,0,0,0
overpass,1,1,0,0,0,0
packed,0,0,0,1,0,0
paddle,3,0,1,0,0,0
pads,2,0,0,0,0,0
painted,2,0,1,0,0,0
painting,0,1,1,0,0,0
pair,1,1,0,0,0,1
paired,3,1,0,0,0,0
pale,0,1,0,1,1,3
palette,0,0,1,5,3,6
pan,1,0,0,0,0,0
paneling,1,0,0,0,0,0
panels,1,0,0,0,0,0
pants,4,4,9,14,7,2
paper,0,0,0,1,1,1
paragliding,0,1,0,0,0,0
parallel,0,1,0,0,0,0
park,3,4,4,4,6,4
parked,10,6,2,0,0,0
parklike,1,3,2,1,0,0
parsley,0,1,0,0,0,0
part,3,6,5,2,1,0
partially,6,13,6,4,2,3
participation,1,0,0,0,0,0
particular,0,0,0,0,0,1
partly,2,2,0,0,0,0
party,1,0,0,0,0,0
passenger,1,0,0,0,0,0
passengers,1,0,0,0,0,0
passing,1,0,0,0,0,0
pastel,0,0,1,0,0,8
pastelcolored,0,0,0,1,1,0
patch,1,0,0,2,0,1
patches,1,0,1,0,0,0
patchwork,1,0,0,0,0,0
path,2,3,2,0,1,0
pathway,0,0,0,1,0,0
pathways,1,0,0,0,0,0
patriotic,0,1,0,0,0,0
pattern,6,2,2,5,6,7
patterned,4,6,3,1,2,1
patterns,3,1,1,1,0,5
paved,6,3,6,3,0,0
pavement,0,2,0,0,0,0
paving,1,0,0,0,0,0
paws,1,2,0,0,0,0
peaceful,2,1,0,1,0,0
peak,1,1,0,0,0,0
pedestrians,1,0,0,0,0,0
people,6,5,3,1,1,1
pepsi,1,0,0,0,0,0
perched,1,2,0,0,0,0
perches,0,1,0,0,0,0
perfect,0,1,0,0,0,0
performance,1,0,0,0,0,0
performing,9,9,0,0,1,0
perhaps,0,0,0,0,2,0
person,16,41,54,51,44,13
personal,0,1,0,0,1,0
personality,0,0,1,0,0,0
persons,0,0,3,6,7,6
perspective,1,1,1,0,0,0
pet,0,0,1,0,0,0
petals,0,1,0,0,0,0
phone,2,1,1,1,0,0
phones,1,0,0,0,0,0
photo,0,0,0,0,1,0
photograph,1,0,0,0,1,0
physical,0,0,0,1,0,1
picked,0,0,1,0,0,0
picking,0,1,0,0,0,0
picture,1,1,0,0,0,0
pictures,1,0,0,0,0,0
picturesque,1,0,0,0,0,0
piece,3,5,12,8,6,3
pieces,1,0,1,0,0,0
pier,0,2,0,0,0,0
pillow,1,0,0,0,0,0
pillows,0,1,0,0,0,0
pink,7,7,8,6,6,11
pinkish,0,0,0,0,0,1
pinks,0,0,1,1,1,1
pipe,0,0,1,0,0,0
pitcher,2,1,0,0,0,0
pitchers,0,1,0,0,0,0
pizza,4,0,0,0,0,0
place,0,0,0,1,0,0
placed,6,1,6,1,0,0
placemat,1,0,0,0,0,0
placemats,1,0,0,0,0,0
placement,0,0,1,0,0,0
plaid,3,0,0,0,0,0
plain,3,3,3,1,1,1
plane,3,0,0,0,0,0
planes,2,0,0,0,0,0
planet,0,0,1,0,0,0
plant,3,2,1,1,2,4
planted,2,0,0,0,0,0
plants,2,0,0,1,0,0
plastic,1,0,0,0,0,0
plate,8,9,1,0,0,0
platform,4,1,0,0,0,0
player,5,7,2,0,0,0
players,6,5,3,0,0,0
playful,1,0,0,0,0,0
playfully,1,0,0,0,0,0
playground,0,1,0,1,0,0
playpen,1,0,0,0,0,0
plush,3,2,1,1,0,0
point,3,0,0,1,4,2
points,1,0,0,0,1,0
poised,0,1,0,0,0,0
pole,3,2,5,1,1,0
poles,5,3,0,1,1,0
polished,0,1,0,0,0,0
polka,1,0,0,0,0,0
polkadot,1,0,0,0,0,0
polo,1,0,0,0,0,0
pony,2,0,0,0,0,0
ponytail,2,0,0,0,0,0
pool,0,0,0,1,0,0
pop,1,1,0,0,0,0
portion,2,1,0,1,2,1
portrait,0,0,0,0,1,0
pose,3,1,6,3,4,1
poses,0,0,0,1,0,0
position,0,1,1,0,0,0
positioned,10,9,10,5,3,0
positioning,0,1,0,0,0,0
positions,1,0,0,0,0,0
possible,0,0,1,0,1,1
possibly,5,39,58,54,39,30
post,1,0,0,0,0,0
posture,3,1,6,8,2,0
pot,0,1,0,0,0,0
potted,1,0,0,0,0,0
power,1,0,0,0,0,0
powerful,1,1,0,0,0,0
powerfully,0,1,0,0,0,0
practice,0,0,0,1,0,0
precautions,0,0,1,0,0,0
precision,1,0,0,0,0,0
predominantly,1,0,1,3,4,3
preparation,0,3,0,0,0,0
prepared,0,1,0,0,0,0
preparing,5,6,1,1,0,0
presence,0,0,1,2,1,0
present,0,1,4,2,7,10
presentation,3,3,0,0,0,0
presents,0,0,0,0,1,0
primarily,0,0,2,2,0,3
printed,1,0,0,0,0,0
products,0,1,0,0,0,0
profile,1,0,0,0,0,1
progress,2,0,0,0,0,0
prominent,9,10,25,32,35,39
prominently,15,9,7,3,4,1
pronounced,0,0,0,1,0,1
protection,1,0,0,0,0,0
protective,1,0,0,0,0,0
protein,0,1,0,0,0,0
providing,1,0,1,0,1,1
proximity,1,0,2,1,0,0
pumpkin,1,0,0,0,0,0
puppy,1,0,0,0,0,0
pure,1,0,0,0,0,0
purple,7,2,4,3,6,6
purples,0,0,1,1,1,2
purpose,1,0,0,0,0,0
qr,1,0,0,0,0,0
quadrant,1,0,0,0,0,0
quaint,2,1,0,0,0,0
quality,0,0,4,11,28,25
quiet,1,0,0,0,0,0
quilt,1,0,0,0,0,0
quite,0,0,0,1,0,0
racket,7,5,2,0,0,0
radiating,0,0,0,0,1,1
railing,1,1,1,0,0,0
rainbowlike,0,0,1,0,0,0
raised,3,2,3,2,3,1
raising,0,2,1,0,0,0
ramp,0,1,0,0,0,0
range,3,0,0,0,0,0
rather,0,0,0,0,3,2
reaching,0,0,0,1,0,1
readiness,1,0,0,0,0,0
reads,1,0,0,0,0,0
ready,3,2,0,0,0,0
realistic,0,0,0,0,0,1
rear,2,2,0,0,0,0
receive,0,1,0,0,0,0
recognizable,0,0,1,1,0,0
recreational,0,0,1,1,0,0
rectangular,2,1,1,3,0,0
red,47,39,30,35,26,26
reddish,0,1,1,0,2,1
reddishbrown,0,1,1,0,1,0
reds,0,0,0,1,0,1
reflecting,0,0,3,1,0,1
reflection,0,0,0,1,0,0
reflections,0,0,1,0,0,0
refrigerator,2,2,0,0,0,0
region,0,0,0,0,0,2
relative,0,0,0,0,1,0
relatively,1,0,0,0,0,0
relaxation,0,1,0,0,0,0
relaxed,2,3,3,0,2,0
relaxing,1,0,0,0,0,0
remain,0,0,0,1,0,0
remains,0,0,0,0,0,1
remote,1,0,0,0,0,0
repeating,0,1,0,0,0,0
representation,0,0,0,0,0,3
resemble,0,1,0,0,0,0
resembles,0,0,2,0,2,3
resembling,0,2,4,6,2,1
residential,1,2,1,0,0,0
respective,1,0,0,0,0,0
rest,0,0,1,0,0,0
resting,5,4,0,1,0,0
rests,2,0,0,0,0,0
retail,0,1,0,0,0,0
retaining,0,1,0,0,0,0
return,2,1,0,0,0,0
returning,0,1,1,0,0,0
revealing,1,0,1,0,0,0
ribbon,1,0,0,0,0,0
rice,1,1,0,0,0,0
rich,3,0,0,1,1,4
ride,2,0,0,0,0,0
riders,0,1,0,0,0,0
rides,2,0,0,0,0,0
riding,2,1,1,0,0,0
right,7,8,10,8,6,6
rings,1,0,0,0,0,0
ripples,1,1,1,1,0,0
river,0,1,1,0,0,1
riverbank,1,0,0,0,0,0
road,5,4,2,2,0,0
roasted,1,0,0,0,0,0
rock,0,0,0,1,0,0
rocks,2,2,0,0,0,0
rocky,0,3,0,0,0,0
roller,0,2,0,0,0,0
roof,1,3,1,1,0,0
room,10,5,6,5,2,0
roses,1,0,0,1,0,0
rosy,0,1,0,0,0,0
rough,0,0,0,1,0,2
round,1,0,3,1,1,0
rounded,0,1,0,5,2,4
row,2,2,0,0,0,0
rows,1,0,0,0,0,0
ruffled,1,0,0,0,0,0
rugged,1,0,0,0,0,0
running,1,0,3,4,1,0
rural,0,1,0,0,1,1
rustic,6,0,3,1,0,0
safety,1,1,1,0,0,0
salad,0,0,1,0,0,0
sand,2,3,3,1,3,2
sandwich,3,7,6,1,0,0
sandy,5,8,4,8,4,5
santa,0,1,0,0,0,0
sari,1,0,0,0,0,0
satellite,0,0,1,0,0,0
sauce,5,2,0,0,0,0
scale,2,1,0,0,0,0
scattered,5,6,5,4,4,2
scene,46,47,51,33,34,24
scenes,0,0,0,0,1,0
scenic,1,0,0,0,0,0
scheme,0,2,0,1,0,0
scoreboard,1,0,0,0,0,0
scratches,1,0,0,0,0,0
screen,2,4,3,1,0,0
sea,3,0,1,0,2,1
seamlessly,0,0,0,2,1,7
seaside,0,1,0,0,0,0
seasoned,0,1,0,0,0,0
seat,1,0,0,0,0,0
seated,7,6,5,2,0,0
seating,1,0,1,0,0,0
seats,0,1,0,0,0,0
seclusion,0,0,0,1,0,0
section,1,2,0,1,0,0
sectional,1,0,0,0,0,0
sections,3,1,1,1,1,0
seeds,1,0,0,0,0,0
seem,0,1,2,2,0,0
seemingly,5,4,3,1,0,0
seems,0,3,7,2,1,1
seen,0,5,1,0,0,0
sense,1,5,8,12,12,18
separate,1,0,0,0,0,0
separating,0,0,0,1,2,2
serene,6,5,10,10,14,18
serve,2,4,0,0,0,0
served,5,2,1,0,0,0
service,1,0,0,0,0,0
serving,0,0,1,0,0,0
sesame,1,0,0,0,0,0
session,1,0,0,1,0,0
set,8,7,23,26,9,10
sets,0,0,0,1,0,0
setting,32,48,51,42,41,30
settings,0,0,2,0,0,0
setup,1,2,1,0,0,0
several,2,0,0,0,0,0
shade,0,0,1,4,8,10
shades,2,4,4,10,21,27
shading,0,1,1,0,0,1
shadow,1,1,1,3,3,2
shadowed,0,0,0,0,0,2
shadows,2,4,1,1,4,3
shadowy,1,1,0,0,1,0
shaggy,0,0,1,0,0,0
shallow,0,1,0,1,0,0
shape,0,2,15,32,25,30
shaped,0,1,0,0,0,0
shapes,1,3,12,14,19,22
sharp,1,0,0,3,6,5
sharper,0,0,0,2,0,0
sharply,10,6,7,5,5,9
she,4,0,0,0,0,0
sheeplike,1,0,0,0,0,0
shelf,0,2,0,0,0,0
shelves,3,4,0,1,0,0
shelving,2,0,0,0,0,0
shes,1,0,0,0,0,0
shift,0,0,1,0,0,1
shirt,23,14,16,15,8,1
shirts,0,1,0,0,0,0
shoes,1,0,0,0,1,0
shopping,0,2,0,0,0,0
shore,0,0,1,0,0,0
shoreline,3,2,0,1,0,0
shores,1,0,0,0,0,0
short,0,0,1,2,2,1
shorts,6,7,4,0,0,0
shot,4,4,1,0,0,0
shoulder,1,0,1,0,2,0
shoulders,0,0,0,0,0,1
show,0,0,1,1,1,0
showcases,11,18,4,0,0,0
showcasing,4,2,0,1,0,1
showing,0,1,0,2,1,0
shows,7,13,4,0,1,0
shredded,1,0,0,0,0,0
shrubs,1,0,0,0,0,0
shutters,1,0,0,0,0,0
side,17,14,13,6,6,4
sides,2,0,0,0,0,0
sidewalk,2,0,0,0,0,0
sight,0,0,0,1,0,0
sign,13,7,8,1,0,0
signage,1,0,0,0,0,0
signal,0,2,0,0,0,0
signboard,1,1,0,0,0,0
significant,1,0,1,1,0,0
signs,1,0,0,0,0,0
silhouette,3,2,4,5,3,2
silhouetted,1,0,0,1,0,0
silhouettes,0,1,0,0,1,1
similar,2,2,6,2,6,4
simple,4,1,2,3,3,4
simplicity,0,0,0,2,1,0
single,3,2,1,0,0,0
singlestory,0,1,0,0,0,0
sink,3,0,0,0,0,0
sit,2,0,0,0,0,0
site,0,1,0,0,0,0
sits,15,8,2,0,0,0
sitting,3,3,3,0,2,0
situated,0,1,0,0,0,0
size,0,0,0,1,0,0
sizes,0,0,0,0,1,0
skateboard,3,3,0,0,0,0
skateboarder,4,2,0,0,0,0
skateboarders,2,0,0,0,0,0
skateboarding,2,0,0,0,0,0
skater,2,0,0,0,0,0
skaters,1,0,0,0,0,0
skates,0,2,0,0,0,0
ski,5,5,0,0,0,0
skier,10,9,0,0,0,0
skiers,4,4,0,0,0,0
skies,2,2,1,0,0,0
skiing,3,2,1,0,0,0
skill,0,1,0,0,0,0
skillful,0,1,0,0,0,0
skillfully,0,1,0,0,0,0
skin,1,0,1,1,1,3
skirt,1,0,0,0,0,0
skis,2,1,0,0,0,0
sky,30,36,24,28,20,14
slalom,1,0,0,0,0,0
sleek,5,1,2,0,0,0
sleeping,1,0,0,0,0,0
sleeveless,3,2,0,0,0,0
slender,1,1,1,1,0,0
slice,4,2,2,0,0,0
sliced,1,0,0,0,0,0
slices,2,3,0,0,0,0
slide,0,0,1,1,0,0
sliding,0,1,0,0,0,0
slight,0,0,1,4,0,3
slightly,7,12,9,20,23,12
slope,6,3,0,0,0,0
sloped,0,1,0,0,0,0
slung,1,0,0,0,0,0
small,19,16,17,9,7,3
smaller,3,1,2,1,0,0
smash,1,0,0,0,0,0
smiling,1,0,0,0,0,0
smooth,0,1,2,4,6,7
smoothly,0,0,1,6,16,19
smoothness,0,0,0,0,0,1
snack,0,1,0,0,0,0
snow,5,6,0,0,0,0
snowboard,0,1,0,0,0,0
snowboarder,2,0,0,0,0,0
snowboarding,1,0,0,0,0,0
snowcapped,1,0,0,0,0,0
snowcovered,6,2,0,0,0,0
snowfall,1,0,0,0,0,0
snowy,6,7,0,0,0,0
soaring,0,1,0,0,0,0
soars,5,0,0,0,0,0
social,0,2,1,0,0,0
socks,1,0,0,0,0,0
sofa,3,1,2,0,0,0
soft,2,4,24,36,64,96
softer,0,0,4,8,5,5
softly,0,0,0,5,6,4
softness,0,0,1,1,0,0
solid,3,1,0,0,0,1
solitary,0,1,0,0,0,0
solitude,1,0,0,0,0,0
solutions,2,0,0,0,0,0
some,10,17,21,10,4,4
something,0,5,3,3,1,0
somewhat,1,2,2,2,6,2
soothing,0,0,0,0,0,2
source,0,2,4,2,7,3
space,7,4,5,3,1,0
spacious,1,0,0,0,0,0
sparse,1,0,0,0,0,0
speaking,0,1,1,0,0,0
specific,0,0,0,1,0,2
spectators,3,0,0,0,0,0
speed,2,2,2,0,0,0
speedboat,3,1,0,0,0,0
sphere,0,0,0,3,0,0
spherical,0,0,0,0,1,0
splash,1,0,1,0,0,0
splashes,0,0,1,0,0,0
splashing,1,0,0,0,0,0
sport,0,0,2,0,0,0
sportbike,0,0,1,0,0,0
sporting,0,1,0,0,0,0
sports,2,2,0,2,0,0
sporty,2,0,0,0,0,0
spot,0,1,0,1,2,4
spots,0,0,1,1,0,0
sprawling,1,0,0,0,0,0
spray,4,0,0,0,0,0
spraying,1,0,0,0,0,0
sprig,0,1,0,0,0,0
sprinkles,1,0,0,0,0,0
square,1,0,0,1,1,0
squirrel,0,1,0,0,0,0
stacked,1,0,0,0,0,0
stadium,1,1,0,0,0,0
stainless,2,0,0,0,0,0
staircase,1,0,1,0,0,0
stance,1,3,2,3,0,0
stand,4,4,11,8,6,5
standard,1,0,0,0,0,0
standing,8,10,25,44,28,15
stands,27,18,9,6,3,2
star,1,0,0,0,0,1
stark,2,1,1,4,3,3
stars,0,0,1,0,0,0
static,0,0,0,1,0,0
station,3,1,0,0,0,0
stationary,0,0,1,0,0,0
steady,1,0,0,0,0,0
steak,0,1,0,0,0,0
steamed,2,1,0,0,0,0
steel,2,0,0,0,0,0
steep,1,0,0,0,0,0
stem,0,0,0,1,0,0
steps,1,0,0,0,0,0
still,0,0,0,1,0,0
stocked,0,1,0,0,0,0
stone,1,1,0,2,0,0
stools,1,0,0,0,0,0
stop,4,4,0,1,0,0
storage,4,1,0,0,0,0
store,0,1,0,0,0,0
stove,2,2,0,0,0,0
streak,0,0,0,1,0,3
streaks,0,1,0,0,0,0
stream,0,1,0,0,0,0
streaming,0,1,0,0,0,0
streamlined,0,1,0,0,0,0
street,5,3,1,0,0,0
streetlights,1,1,0,0,0,0
streets,1,0,0,0,0,0
stretches,2,0,0,0,0,0
stretching,1,1,1,0,0,1
striking,2,1,5,2,1,3
string,2,1,0,0,0,0
strip,1,0,0,0,0,0
stripe,0,1,0,0,0,0
striped,5,0,0,1,0,0
stripes,1,4,0,0,0,0
stroke,0,1,0,0,0,0
strong,0,1,0,1,0,0
structural,1,0,0,0,0,0
structure,2,13,21,14,4,1
structures,2,3,2,3,1,1
studio,0,0,0,0,1,0
study,0,1,0,0,0,0
stuffed,1,0,0,0,0,0
style,0,0,0,0,1,1
styled,0,1,0,0,0,0
stylish,1,0,0,0,0,0
stylized,0,0,0,0,1,2
subdued,0,0,1,1,2,2
subject,0,2,0,4,5,4
subjects,0,0,2,1,7,3
submerged,0,0,1,0,0,0
subtle,0,1,7,14,24,40
subtly,1,1,0,0,1,3
suburban,4,1,0,0,0,0
subway,1,1,0,0,0,0
suggest,0,3,1,2,2,2
suggested,0,0,1,0,0,0
suggesting,20,46,41,34,29,17
suggestion,0,0,0,0,1,0
suggests,4,14,21,18,20,16
suit,6,5,2,1,0,0
suitcase,1,0,0,0,0,0
sun,1,0,0,0,0,0
sunburstlike,0,0,0,0,1,0
sunflower,1,0,0,0,0,0
